id ,ja ,en
1,天気,weather
2,温度, temperature
3,風、曲がりくねっている ,wind
4,光線 ,ray
5,眺め,view
6,晴れ、罰金,fine
7,穏やか,calm
8,答え,answer
9,に近づく,approach
10,出席する,attend
11,議論する,discuss
12,入った,enter
13,植物,plant
14,花,blossom
15,花、満開,bloom
16,葉,leaf
17,果実、成果,fruit
18,拾う、迎え,pick
19,成長した,grow
20,結婚する,marry
21,言及,mention
22,従う,obey
23,達する,reach
24,似ている,resemble
25,生き延びる,survive
26,大陸,continent
27,地域、地区,area
28,地域、部分,part
29,地平線,horizon
30,国境,border
31,外国の,foreign
32,謝罪する,apologize
33,言い争う,argue
34,(不平、苦情)を言う,complain
35,卒業する,graduate
36,同意する,agree
37,生き物,creature
38,しっぽ,tail
39,生きている,alive
40,噛む,bite
41,掘る,dig
42,感じる,feel
43,嗅ぐ、匂い,smell
44,味,taste
45,のように思われる,seem
46,のように見える l,look
47,のように見える a,appear
48,のように(思われる、聞こえる),sound
49,人口,population
50,世代,generation
51,英雄,hero
52,権利、まさに,right
53,村,village
54,共通の,common
55,公共の、一般の人々,public
56,与える、渡した,give
57,貸す,lend
58,見せる,show
59,手渡す、とる,pass
60,会社,society
61,文化,culture
62,習慣,custom
63,伝統,tradition
64,規則,rule
65,役割,role
66,住所、演説,address
67,式、礼儀,ceremony
68,現金,cash
69,買う,buy
70,料理する,cook
71,選ぶ,choose
72,得る、買う,get
73,誇り,proud
74,感謝して,grateful
75,恐れて、心配して,afraid
76,心配して、切望して,anxious
77,恥じて,ashamed
78,怒って,angry
79,みじめな、不幸な,miserable
80,尋ねる,ask
81,費用、OOが掛かる,cost
82,省く、節約,save
83,うらやむ、ねたむ,envy
84,余分、予備、をさく,spare
85,年齢、時代,age
86,子供、冗談を言う,kid
87,いとこ,cousin
88,(男の)主人、司会者,host
89,女性、雌,female
90,男性、雄,male
91,人間、人類,human
92,"(金)を借りる,を追っている",owe
93,許す、とっておく,allow
94,もたらす,cause
95,請求する,charge
96,貸し付ける,loan
97,誤った,FALSE
98,つらい、苦い,bitter
99,空の,empty
100,不足した,short
101,不在で,absent
102,無駄に使う,waste
103,悩ませる,trouble
104,ままにしておく,leave
105,だとわかる,find
106,に選出する,elect
107,だと思う、信じる,believe
108,観光客,tourist
109,旅行,travel
110,航海,voyage
111,休息,rest
112,余暇,leisure
113,航空,airport
114,外国,abroad
115,観光,sightseeing
116,上がる,rise
117,を上げる,raise
118,横たわる、嘘,lie
119,横たえる、置く,lay
120,会話,conversation
121,演説,speech
122,注意、注目,attention
123,接触、連絡,contact
124,のままである、残っている,remain
125,所有している,own
126,所属している,belong
127,含む,contain
128,存在する,exist
129,憎む、ひどく嫌う,hate
130,理解する,understand
131,話題、左右される,subject
132,事柄,matter
133,意見,opinion
134,事実,fact
135,手本、例,example
136,理由、理性,reason
137,知識,knowledge
138,に〜させる(強制）,make
139,に〜させる(許可）,let
140,に〜させる(依頼）,have
141,見知らぬ人,stranger
142,金庫、安全,safe
143,~部,copy
144,職業,line
145,約束,word
146,なること、電話,ring
147,聞こえる,hear
148,聞く,listen
149,見える,see
150,よく見る,watch
151,状況、立場,situation
152,位置、場所,position
153,前部、正面,front
154,下部、底部,bottom
155,近所,neighborhood
156,地点、先端,point
157,に〜してほしいと思っている,want
158,に〜することを可能にする,enable
159,を説得させて〜させる,persuade
160,に〜するように励ます,encourage
161,が〜するだろうと思う,expect
162,に〜するように依頼する(誘う),invite
163,服,clothes
164,くし、髪をとかす,comb
165,箱、場合、事件,case
166,贈り物、才能,gift
167,座席,seat
168,カバー,cover
169,に〜することを強制させる,force
170,に〜させることを強いる,compel
171,に〜することを義務付ける,oblige
172,に〜するように要求する,require
173,が〜することを許す(可能にする),permit
174,工場、製作所,factory
175,博物館,museum
176,店、蓄え,store
177,事務所、会社,office
178,話、物語 階,story
179,骨ぐむ、組み立てる,frame
180,する余裕がある、できる、与える,afford
181,〜することを試みる,attempt
182,〜しそこなう、失敗する,fail
183,〜したいと思う、望む、期待する,hope
184,〜するつもりである、を意図する,intend
185,どうにかして〜する、を経営する,manage
186,自然、性格、性質,nature
187,水源、出所,source
188,砂漠,desert
189,宇宙、空間、余地,space
190,平らな、等しい、偶数の,even
191,〜するふりをする、と偽る,pretend
192,〜することを拒む、を断る,refuse
193,〜することを約束する,promise
194,〜することを申し出る,offer
195,〜することを強く望む,desire
196,〜することを計画する,plan
197,機会、好機、見込み,chance
198,勇気,courage
199,よく知られた、親しい,familiar
200,確信して、確実な[of、to],sure
201,本当、の本物の、真実で,TRUE
202,〜して楽しむ,enjoy
203,〜するのを避ける,avoid
204,〜し終える,finish
205,嫌だと思う、気にする、気をつける,mind
206,〜するのをやめめる、止まる,stop
207,近い、接近した、綿密、きめ細かい,close
208,遠い、遠くに、はるか[as、from],far
209,遠い、離れた,distant
210,階上、二階で,upstairs
211,を許す,forgive
212,〜する練習をする、を実行する,practice
213,〜するのをよく考える、を〜と思う,consider
214,〜するのをまぬがれる、逃げる,escape
215,〜したのを認める、を許可する,admit
216,〜したのを否定する、を拒む、を認めない,deny
217,〜し損なう、に乗り遅れる 男,miss
218,重大な、大切な,important
219,貴重な、大切な,precious
220,おもな、主要な,main
221,完全な、完璧な,perfect
222,を必要とする,need
223,を覚えている、を思い出す,remember
224,を忘れる,forget
225,を試みる、を試す,try
226,を意味する、を意図する,mean
227,確実な、確信して,certain
228,ありそうな,likely
229,ほとんど、もう少し,almost
230,に似合う[物→人]、〜になる,become
231,重要である、価値がある、を教える,count
232,に直面する、に面する,face
233,〜ということになる,follow
234,続く、持ちこたえる、最後の、この前の,last
235,を経営する、を動かす、立候補する、流れる,run
236,を我慢する、立つ,stand
237,をすり減らす、すり減る、を身につける,wear
238,特になる、に報いる、を払う,pay
239,解釈する、読める、読む、解読する,read
240,売れる、を売る,sell
241,釣り銭、小銭、変化,change
242,鉱山、鉱抗、地雷、機雷,mine
243,を雇用する、発砲する、火、火事,fire
244,予約する、本,book
245,缶、〜できる、〜してもよい、,can
246,休息、を壊す、壊れる、を折る、折れる,break
247,手渡す、渡す、手、側、面、手助け,hand
248,地位、身分、場所、位置、〜を置く,place
249,パンクした、空気が抜けた、平らな,flat
250,運命、一区画、軸,lot
251,遺言、意欲、意思、〜だろう,will
252,うまく、いど、健康で、さて、おや、まあ,well
253,目的、終わり、端,end
254,手の込んだ、複雑な、精巧,elaborate
255,表、目録、テーブル,table
256,期間、呪文、をつづる,spell
257,少量、を触れること、感触,touch
258,獲物、ゲーム、遊び、試合、競技,game
259,場所、あき、余地、機械、部屋、室,room
260,と調和、組み合わせる、試合、匹敵する、よい相手となる,match
261,秋、滝、落ちる、倒れる,fall
262,駐車する、公園、駐車場,park
263,から作られている,be made from
264,でできている,be made of
265,で構成されている,be made up of
266,〜を00に加工する,make ... into
267,〜しようと決心する,make up one's mind to do
268,〜することにしている,make a point of -ing
269,〜において進歩をとげる,make progress in
270,〜に出くわす、〜に偶然会う,come across
271,実現する,come true
272,意識を取り戻す,come to
273,〜するようになる,come to do
274,行われる、落ちる、取れる、はがれる,come off
275,考えてみると、そういえば,come to think of it
276,〜を手にいれる、立ち寄る,come by
277,し続ける[on、in、at],go on -ing
278,さらに続けて〜する 動詞,go on to do
279,〜を続ける 名詞,go on with
280,＜場所＞に〜しに行く,go -ing at
281,〜を経験する、抜ける,go through
282,腐る,go bad
283,荒っぽくなる、興奮する,go wild
284,さらに悪い方向に向かう,go from bad to worse
285,〜を始める,go ahead with
286,をよく調べる,go over
287,に似合う、と調和する、と交際する,go with
288,わざわざ〜する、無視して〜する,go out of one's way to do
289,仕事に追われる、常に活動している,be on the go
290,〜を置き忘れる、〜を連れていかない,leave ... behind
291,問題が多い、不審な点が多く残っている,leave much to be desired
292,〜を１人にしておく、をそっとしておく,leave ... alone
293,を省く、を入れ忘れる,leave ... out
294,<人>に手を貸す、の手伝いをする,give H a hand
295,<人>に電話をする,give H a call
296,を産む,give birth to
297,を諦める、断念する,give up
298,譲る、克服する、を提案する,give in
299,に交渉する、に道を譲る、に屈する、に負ける,give way to
300,を考慮に入れれば、もし〜があれば,given
301,を配る,give out
